"Street/Name","stationcode","Zipcode","Invited","Turnout","Turnout percentage"
"Autobedrijf Haaima Hylkema","16","8923 EL","1844","700",0.379609544468547
"MG Rehoboth","17","8921 HA","1290","432",0.334883720930233
"Wijkgebouw Cambuursterhoek","18","8921 TL","1243","518",0.416733708769107
"Emmastate","19","8921 AG","1526","500",0.327653997378768
"Wijkgebouw Insulinde","20","8924 AS","1289","372",0.288595810705974
"Wijkcentrum Schieringen","21","8924 EJ","1536","451",0.293619791666667
"M.f.c. Camminghastins","22","8925 CK","1362","547",0.401615271659325
"Gymlokaal IKC Trianova","23","8926 NA","1487","654",0.439811701412239
"De Schakel","24","8925 AZ","1408","683",0.485085227272727
"Gymlokaal Algraschool","25","8925 AG","1429","581",0.406578026592022
"Gymlokaal De Wielen","26","8925 GZ","1409","1005",0.713271823988644
"Gymlokaal Menno van Coehoorn","27","8921 BJ","1386","391",0.282106782106782
"Buurthuis It Skiphûs","28","8937 AP","1393","205",0.147164393395549
"Wijkcentrum 't Knooppunt","29","8933 GS","1641","672",0.409506398537477
"Gymlokaal Drachtsterweg","30","8934 BV","1593","287",0.180163214061519
"Husmaherne","31","8934 BL","1026","513",0.5
"Hollanderhuuske","32","8932 ET","1544","577",0.373704663212435
"Wijkgebouw Gerard Dou","33","8932 JG","1380","774",0.560869565217391
"Cultuurcentrum Leeuwarden","34","8932 CT","1502","439",0.292276964047936
"Wijkcentrum Nijlân","35","8931 CX","1603","700",0.436681222707424
"Piter Jelles YnSicht","36","8931 EG","1608","613",0.381218905472637
"Leeuwarder Lyceum","37","8935 AB","1335","625",0.468164794007491
"Leeuwarder Lyceum","38","8935 AB","1629","579",0.355432780847145
"Wijkcentrum Froskenburch","39","8935 SC","1313","569",0.433358720487433
"Wijkcentrum Froskenburch","40","8935 SC","1416","556",0.392655367231638
"Lekkum Dorpshuis De Weeme","41","9081 AS","540","356",0.659259259259259
"Hempens Dorpshuis de Bining","42","9086 CH","1545","645",0.41747572815534
"Goutum Dorpshuis Ien en Mien","43","9084 BB","1439","770",0.535093815149409
"Wirdum Dorpshuis de Golle","44","9088 AP","912","591",0.648026315789474
"Wytgaard Parochiezaal RK Kerk","45","9089 BG","497","341",0.686116700201207
"M.f.c. Màrkant","46","8939 CC","1246","728",0.584269662921348
"Oranje Hotel","47","8911 AG","1227","439",0.357783211083945
"Provinciehuis","48","8911 KZ","1717","880",0.512521840419336
"MG Rehoboth","49","8921 HA","1334","403",0.302098950524738
"M.f.c. Camminghastins","50","8925 CK","1417","503",0.354975299929428
"Het Buiten-land Pitch & Putt","51","8939 DA","1485","788",0.530639730639731
"Goutum Dorpshuis Ien en Mien","52","9084 BB","1448","768",0.530386740331492
"Parkkerk","53","8932 DD","1232","617",0.500811688311688
"Gymlokaal Wollegaastdam","54","8918 GE","1149","245",0.213228894691036
"NHL Stenden Hogeschool","55","8917 DD","1608","497",0.30907960199005
"Gymlokaal Telemannstraat","57","8915 CC","1041","329",0.316042267050913
"Hotel Van der Valk","58","8941 BR","1780","864",0.485393258426966
"Bethelkerk","60","8934 BK","1127","484",0.429458740017746
"Grou Sporthal de Twine","61","9001 LB","1484","1012",0.681940700808625
"Grou Sint Piterkerk","62","9001 AA","1738","578",0.332566168009206
"Grou Het Theehuis","63","9001 BG","1450","635",0.437931034482759
"Warten Gereformeerde kerk","64","9003 MG","755","417",0.552317880794702
"Wergea Us Doarpshûs","65","9005 PL","1497","747",0.498997995991984
"Reduzum Gymlokaal Trije Doarpen Skoalle","66","9008 TB","1023","607",0.593352883675464
"Jirnsum M.f.c. It Kattehûs","67","9011 VJ","1082","552",0.510166358595194
"Stiens It Span","68","9051 BC","1249","476",0.381104883907126
"Stiens M.f.c. de Skalm","69","9051 BR","1249","747",0.598078462770216
"Koarnjum De Bining","70","9056 PW","705","406",0.575886524822695
"Hijum Dorpshuis de Kampioen","71","9054 KK","455","219",0.481318681318681
"Britsum Gereformeerde kerk","72","9055 MG","781","502",0.642765685019206
"Stiens De Hege Stins","73","9051 ER","1243","752",0.604987932421561
"Stiens Sportcentrum It Gryn","74","9051 LP","942","592",0.628450106157112
"Stiens Sportcentrum It Gryn","76","9051 LP","1461","542",0.3709787816564
"Alde Leie Us Gebou","77","9071 XG","210","94",0.447619047619048
"Mantgum M.f.c. De Wjukken","78","9022 BD","1128","572",0.50709219858156
