"Street/Name","Zipcode","Invited","Turnout","X","Y"
" Basisschool Beppino Sarto","5645GC","1",1321,163483.875008645,382010.172609234
" Basisschool Burgst","4822RS","1407",545,110128.199794905,403394.598787216
" Basisschool Catamaran Landlust","1055KK","1659",465,118461,488353
" Basisschool De Archipel","1087HN","1412",455,0,0
" Basisschool De Bijenkorf","5632LA","1",1100,162450.308042276,387563.481308092
" Basisschool De Driestam","5612AD","1",981,161222.415915004,384780.803469952
" Basisschool De Eerste Rith","4813GM","1590",490,109953.619154848,398361.801696408
" Basisschool de Golfbreker","1541RT","2079",460,115043.141002992,496973.726993588
" Basisschool de Groene Vlinder","5632PD","1",1260,162555.467896276,388140.910474188
" Basisschool de Hobbitstee","5653JM","2019",903,158738.995130161,381535.998983653
" Basisschool de Hoeksteen","1561TZ","1790",316,112640.996234173,502095.669896625
" Basisschool De Horn","3961KE","1535",618,151243.993771898,443067.998609804
" Basisschool de Klokkebei","4851BD","2615",437,114673.85661973,395447.038788447
" Basisschool De Krommenhoek","5243WC","1133",554,153906.300120294,414740.200416662
" Basisschool de Krullevaar","5161AE","1229",459,126842.993897085,410118.002080739
" Basisschool De Mare","2402LG","1385",573,105807.034227702,462555.471550956
" Basisschool de Odyssee","1060LW","2998",944,114516.101,484713.676
" Basisschool De Parachute (2)","2274TZ","1838",1405,83508.3927064223,454363.88024965
" Basisschool De Regenboog","5643CJ","1",1458,162598.891763048,381401.380525202
" Basisschool de Rivieren, locatie Von Liebigweg","1097RP","1526",405,123650,483931
" Basisschool De Singel","4811SZ","3182",669,112208.421052199,400249.764979422
" Basisschool De Talisman","5644PK","1",1807,162141.956202244,381330.382536904
" Basisschool de Tragellijn","6915VT","1474",373,204898.730940915,430297.808689787
" Basisschool De Valk","6741GK","0",774,175334.000252318,459010.001016112
" Basisschool de Vuurvlinder","5629NC","1999",931,161395.720570237,389275.43315567
" Basisschool De Wegwijzer","3766CP","0",658,147828.986366598,464491.555387133
" Basisschool De Wegwijzer","3962AD","2051",692,151422.99510672,443213.992829357
" Basisschool de Wegwijzer - Zonnewijzer","3962HT","1801",717,152094.439356773,443641.554026062
" Basisschool De Wereldburger","1069JR","4540",647,114997,485190
" Basisschool Dynamis","1628TR","0",1457,135437.69189706,518526.085017231
" Basisschool El Habib","6216XB","0",83,173920.549561107,317916.422267309
" Basisschool Fellenoord","5612WS","1",1031,160916.662854298,384099.445409182
" Basisschool Het Baken","2401GH","1074",462,104886.998661979,463183.995659053
" Basisschool Het Spectrum","1628XH","0",966,136030.455908679,518363.536091654
" Basisschool Klaverblad","1102MX","2239",283,125176.651,481403.2
" Basisschool Kogerveld","1508AW","1301",228,117224.147573189,496864.151630241
" Basisschool Kompas","3961JJ","1592",679,150773.956041324,442765.787024237
" Basisschool Laurentius","4835EG","955",920,113373.467668873,397916.754732988
" Basisschool Lindenhage","6903DK","1444",392,202102.090919576,439178.036348726
" Basisschool Mijn Spoor","6413LZ","1994",452,194811.460069637,324935.320725108
" Basisschool Samen Op Weg","2404AL","1092",336,104718.491456303,461039.936861785
" Basisschool Shri Laksmi","1102JR","1437",464,125646,481313
" Basisschool Sint Maarten","2271EP","1838",1034,85768.4900094026,454420.370150597
" Basisschool Tweelingen","5632DG","1",813,162480.328936836,386966.972855619
" Basisschool Windekind","6417ES","2070",807,197052.609935814,320460.200919635
" Bazuinkerk","8265RL","1158",734,190550.498436451,506164.120782717
" BBS Haren-Donk-Reit","5233HG","1307",797,150847.800117462,414132.700416261
" Beatrixkerk","6713PT","0",862,173883.999970039,449540.000798843
" Bej.centrum 't Dijkhuis","7437BE","0",38,0,0
" Bejaardensociëteit Belfort","6216PS","0",528,174038.862303138,317154.7894354
" Belcrumhuis","4815BC","1878",709,112764.853970702,401419.342258804
" Bellamy Museum","1053BR","0",2094,0,0
" Best Western Zaan Inn","1507EB","2459",696,115832.079680176,494812.062597493
" Bethanië, Ingang kerkzaal","6711JK","0",49,0,0
" Bethelkerk","2741AP","1049",483,104463.386474919,452161.406530203
" Bethelkerk","6717KD","0",1383,174069.000186046,448559.000488032
" Bethelkerk (2)","2771PC","1229",905,104995.064803778,454122.196048786
" Betuwe Sporthal","4006AJ","2547",759,156683.000163684,432105.000834046
" Bewonersvereniging Ittersummerbroek","8015CL","1840",730,204673.517795369,498724.901466606
" Bewonersvereniging Schiedam-Zuid","3114NK","1379",685,87282.6558741894,435885.548275586
" Bezoekerscentrum De Veenweiden","2403NC","1320",562,107160.863192563,461750.762068123
" Bibliotheek","2242KM","1539",737,86940.927059197,462227.968446014
" Bibliotheek","5611AZ","2400",897,161079.967007959,383361.620753741
" Bibliotheek","7411PK","1540",608,207464.38,474182.485
" Bibliotheek Eerbeek","6961EA","1498",434,201483.341362175,457513.125480112
" Bibliotheek Korenbeurs","3111CD","1379",758,86834.8999714564,437034.63562998
" Bibliotheek Waalwijk","5141HK","1820",564,133021.992925419,411222.001923228
" Bibliotheek Zuid-Kennemerland","2182KS","1453",518,100261.129305619,478066.287198906
" Bibliotheeksteunpunt Malpertuis","6217CG","0",489,174311.394840786,318485.252056224
" Bij de Halte (voorheen Huize Corel)","7412AT","0",820,206563.997762175,475880.000033718
" Bijzonder mobiel ","6093KE","355",147,189445.970230867,362756.036359426
" Biko","1092GN","1171",675,0,0
" Bioscoop Pathé","8011BJ","1840",974,202494.885166974,503154.179107533
" BMV Aldenhof","6431JL","1466",485,193374.175885829,326324.294576108
" BMV Ell","6011PC","1247",695,183515.249785945,359067.086901535
" BMV Maria-Gewanden","6432CP","1995",576,192258.364036005,325934.645613933
" BMV Molenberg","6416CC","3361",1048,197713.15004535,321888.7405598
" Boerderij Hoekelum, locatie de Barg","6721KE","0",459,174958.000454008,447396.000318485
" Bondsgebouw (ma)","2251LG","0",2532,91244.6640630938,460607.353445099
" Bonifaciusschool","2242JS","1175",226,86883.8430591431,462125.795445955
" Boode","7437AM","1450",670,216255.000176852,473867.000453165
" Boom Chicago","1016LV","987",775,120392,487336
" BOOST Transvaal","1091XX","775",382,122877.999853377,485077.000629719
" Borssele","4454AS","1073",686,40075.1913127422,382964.731104883
" Bouwspeeltuin Batau l l","3437DH","1205",569,133018.66729319,451171.76372244
" BplusC (B)","2253CE","1103",842,90695.6953670013,461093.93733819
" Brandweer Kazerne Willem","1097AH","845",879,122825,484661
" Brandweerkazerne","1381CZ","1512",806,131657.443,479454.867
" Brandweerkazerne","1962TG","1836",586,106669.458317019,502664.491609755
" Brandweerkazerne","4926AH","1859",641,106799.993498851,413911.390285664
" Brandweerkazerne Assendelft","1566BE","1831",988,111093.116605703,497863.06280482
" Brandweerkazerne Boskoop","2771EP","0",1129,104820.000274834,454389.000550277
" Brandweerkazerne Havenstraat","2405BV","1114",270,104993.030019716,460147.562498543
" Brandweerkazerne Houtveldweg","1507AJ","2074",930,116029.800311824,494362.072498041
" Brandweerkazerne Koedijk","1831BX","1504",536,112126.926083691,520502.489617177
" Brasserie 't Appeltje ()","4926RA","0",873,108155.902974239,413072.032002943
" Brasserie De Lindeboom","7433BH","0",2272,210160.806171308,475776.741454422
" Brasserie t Appeltje ()","4926RA","0",327,108155.902974239,413072.032002943
" Breda University of Applied Sciences","4817JT","0",1612,114045.356980476,400233.913562226
" Brede Bossche School De Hambaken","5231BV","1219",477,149125.300115867,414130.600416258
" Brede Mgr. Bekkersschool","1024JR","2259",500,125858,489424
" Brede School de Springplank","1056AZ","2089",450,118172,487436
" Brede school Het Anker","3961KC","1465",783,0,0
" Brede School het Turfhuis ingang St Jozef","2841LN","1613",638,105126.130542533,444829.685695972
" Brede school Kors Breijer","1382RP","1797",633,130913.918,480718.351
" Brede school Markeent","6006JN","1678",322,176964.082476343,361710.409595787
" Brede School St. Martinus","6905AR","1277",581,202823.332938802,436552.765544255
" Breeduit","1403NH","1711",640,140071.580855433,475060.659018491
" Brightlands","6411CR","1532",164,196228.336041737,321603.489203777
" Broedplaats De Vlugt","1063BJ","1898",306,116863,488167
" Buiksloterkerk","1034VZ","1909",986,122946,490548
" BUKO","1566SN","1531",970,0,0
" Burcht van Haeften  15-3","4175HA","0",1315,142757.701161994,426000.003727342
" Buro3o","5248AP","1082",689,154774.000121096,413121.800415607
" Buurtcentrum 't Heitje","6414EW","2323",567,195737.500288651,326110.120917639
" Buurtcentrum A3","1566BR","0",981,111021.198178758,497800.279466358
" Buurtcentrum Atrium","6215SW","0",1141,173457.197966662,316722.132426998
" Buurtcentrum Boschpoort","6219AX","0",645,176283.926135998,319310.719616672
" Buurtcentrum D'Evelaer","1969MV","1460",637,104397.399997097,503029.401083822
" Buurtcentrum De Boeckel","6228DN","0",866,178779.514549551,315266.520231196
" Buurtcentrum de Bovenkruier","1509KP","0",1527,117448.239227813,497905.048101358
" Buurtcentrum de Driehoek","1025PX","1092",663,123783,489659
" Buurtcentrum De Evenaar","1033BE","1012",675,120931,491958
" Buurtcentrum de Koffiepot","6433AJ","1366",661,192642.31050761,325543.94050783
" Buurtcentrum De Kolk","6713BA","0",677,173940.000376218,450128.000663129
" Buurtcentrum De Lorzie","1521HS","0",2293,114224.594791709,500887.208924823
" Buurtcentrum De Meeuw","1021PH","1394",866,123040,488612
" Buurtcentrum de Pelikaan","1562AJ","0",1992,112311.512713864,501998.373993532
" Buurtcentrum De Romein","6216VG","0",456,174128.468844552,318252.055209001
" Buurtcentrum De Schakel","6741WV","0",580,170556.000051881,455776.000680598
" Buurtcentrum De Triangel","4531CL","1034",252,46096.9592692564,373101.923900878
" Buurtcentrum De Valk","1021LA","1988",541,122584,488455
" Buurtcentrum De Vlieger","2718GH","1907",465,93698.5979105494,450466.562795656
" Buurtcentrum De Vuister","1541WR","0",3294,115046.580190083,496811.242500107
" Buurtcentrum De Zeskanter","1507JE","2125",516,115432.911577522,495657.575923157
" Buurtcentrum Kerkehout","2245VW","1136",593,85536.6750578396,458389.116443634
" Buurtcentrum Limbrichterveld","6135BN","1400",734,187852.99423615,335466.001382592
" Buurtcentrum Mariaberg","6214SW","0",528,175132.017068765,317160.056561154
" Buurtcentrum Moesel","6006CJ","1918",770,177627.671418365,361730.724162134
" Buurtcentrum Nazareth","6222TE","0",639,178178.296527327,319532.498371433
" Buurtcentrum Noorderpoort Samen Doen","5231BV","1337",290,149125.300115867,414130.600416258
" Buurtcentrum Oostdorp","2242TZ","1704",467,86873.6850591539,463147.08744658
" Buurtcentrum Sint Pieter","6212BT","0",1792,176262.120996979,316574.964064388
" Buurtcentrum Sprang-Driessen","5161VA","1496",791,131417.994729586,408931.000710477
" Buurthuis 't Hovenhuus","7419CT","0",1090,206375.327167916,473706.776453237
" Buurthuis 't Vogelnest","7331GV","1488",341,194826.094949446,468001.318886123
" Buurthuis ""de Heerlijckheyt""","4155BD","268",187,139001.615306995,432113.421430377
" Buurthuis Archipel","1095RP","1954",478,124646,486404
" Buurthuis Beersdal","6412PP","1478",417,195438.27796032,323842.000774737
" Buurthuis Bloemenoord","5143TB","2317",814,133701.095191053,410389.280080103
" Buurthuis Bonte Kraai","1104CD","1426",1137,127239,481110
" Buurthuis Capelle","5161ZD","855",363,127059.316067116,411449.749944495
" Buurthuis De Buhne","2805VC","1880",779,109543.999149914,447890.999477742
" Buurthuis De Doorbraak","1501NS","1047",308,117157.882003704,494786.119968333
" Buurthuis De Kade","2806PD","1701",703,108750.583774174,447692.167679092
" Buurthuis De Kameleon","4537RJ","2349",560,46703.5542616326,372085.132386302
" Buurthuis de Kolk","1502VP","2052",707,116765.29921492,495283.194327452
" Buurthuis De Oudelandse Hoeve","4536ES","1824",412,48135.9852911816,370733.097245273
" Buurthuis de Wachter","1821AP","1712",560,112558.747224116,515862.627060609
" Buurthuis De Wielewaal","2406EP","0",774,105833.998434783,460954.993068247
" Buurthuis de Zonnereep","9404JR","1000",630,234847.00028018,555979.001023061
" Buurthuis Den Nul","8121EJ","806",344,204536.435166069,485757.973460462
" Buurthuis Elshof","8131RR","721",391,210367.000171253,490019.000462878
" Buurthuis Fatima","6001TV","2172",348,0,0
" Buurthuis Gageldonk","4824PP","1256",793,110439.501879076,401769.89707969
" Buurthuis Gein","1107NB","3204",915,127702,478738
" Buurthuis Graafsewijk Noord","5213BB","4528",747,150514.700117151,411965.300414853
" Buurthuis Het BrandtWeer","1541EK","1824",910,115707.89790026,497400.10949739
" Buurthuis Het Rivierenhuis","4535GT","1604",559,48176.9702131259,370333.035945853
" Buurthuis Holendrecht","1106LP","1350",531,126156,479119
" Buurthuis Huis van de Wijk Oost","3112LD","1379",633,87915.9172008548,436871.272558212
" Buurthuis Jacob Maris","1057TX","2449",714,118770,486558
" Buurthuis Maasstraat","7333JG","2218",842,194917.273567243,467037.377705491
