"Street/Name","Zipcode","Invited","Turnout","X","Y"
" Jong Nederland Buchten","6122AL","1650",264,184520.906506465,339011.814495107
" JongerenHUB Noord","1567HD","1277",959,111775.459159137,500263.855383278
" Joop Westerweelschool","1057VS","2552",542,118835,486908
" Jungle Amsterdam","1093VS","1494",451,123625,486089
" JWF gebouw","2841TK","1613",96,105460.699,443982.8
" Kaleidoskoop theaterzaal","2421EX","2700",3467,113129.679084756,462579.95105153
" Kantine Atletiekvereniging de Liemers","6904GZ","1609",822,201058.377276595,438877.590670486
" Kantine CSV'28 op sportpark De Verbinding","8044PG","1840",467,199451.263674533,506202.043893776
" Kantine DKB","7782RA","757",302,237983.373134986,518751.436102152
" Kantine DVC Dedemsvaart","7701VP","1251",370,0,0
" Kantine RKSV Heer","6226HD","0",276,0,0
" Kantine SC Lutten","7776PA","921",137,0,0
" Kantine Sporthal","5628WK","2091",616,161877.511633615,388307.209334566
" Kantine Sporthal de Toeloop (15-03)","5642KA","1",1536,164274.61530251,383264.003623095
" Kantine Sporthal Oosterhout","1813AA","1853",316,111953.625155508,515300.83074319
" Kantine SV Laar","6003BD","2430",973,177854.1451011,364338.736280446
" Kantine Tennisvereniging de Hulstenaar","1964HZ","1727",672,105659.487047862,503027.114336332
" Kantine voetbalvereniging Odin 59","1967NE","0",1046,107157.342929361,501998.589582456
" Kantine vv Assendelft","1566BA","1733",614,110819.376713937,497045.432135268
" Kantine VV DESM","6004RT","1609",227,179584.949667799,362703.799915653
" Kantoor BSR","4001CE","1856",451,157990.800103315,433417.640123552
" Kantoorpand achter Brandweerkazerne","5212VN","1141",273,148937.90011569,412323.600415086
" Kapel Hoog Soeren","7346AJ","328",242,188193.099169861,470236.753454138
" Kapelkerk","1811EK","1782",711,111837.155175964,515977.493536777
" Katholieke kerk Midsland","8891GJ","800",617,148205.000115274,599399.000522641
" KBS Petrus en Paulus - gymzaal","4819HK","1391",877,112036.285128477,398852.10385929
" KC Wereldwijs, gymzaal","5151ZK","1453",521,136726.176723502,411413.396324474
" Kees Boekehal","3723BA","3561",1145,141801.711011243,460709.909760876
" Keizersgracht Kerk","1017EM","1403",551,121006,486425
" Kerk Cosmas en Damianus","5851AM","1827",946,198069.398146562,405219.240700205
" Kerk de Bron","1097ED","898",888,0,0
" Kerk De Duif","1017LD","0",3932,121588,486064
" Kerk De Fontein","8043NX","1840",1138,200639.215888083,506015.750489871
" Kerk De Hoeksteen","8032PB","1840",1266,202997.822739149,505262.29895793
" Kerk de Hoofdhof","8024AN","1840",645,206013.822938587,504361.739223818
" Kerk de Koningshof","7316CE","1018",789,194565.094864514,470600.128318503
" Kerk Het Kruispunt (B)","2251BH","1371",1053,90680.8670625725,460260.975444879
" Kerk Klarenbeek","7381BB","1384",675,200545.639079612,464229.803578868
" Kerk Open Kring","8043WC","1840",828,199683.976539912,505476.564542118
" kerk Sion","2241XN","1914",952,88129.2220602857,462447.47044618
" Kerk van de Nazarener","1541CD","2011",1102,115850.881982917,496663.465709691
" Kerk van de Nazarener","4811LA","1612",250,112313.544080938,399914.486609382
" Kerk van Zunderdorp","1027AK","1290",287,126390,491097
" Kerkcentrum De Nieuwe Stad","1103TR","1027",227,126456,481299
" Kerkelijk Centrum ""De Kern""","7731CP","1212",483,225390.985442279,504103.676409113
" Kerkelijk Centrum De Fontein","7701JE","1251",429,227352.196344337,513009.185961283
" Kerkelijk Centrum De Rank","3434HA","1205",790,134066.109567467,446509.657158214
" Kerkelijk Centrum De Regenboog","2719CR","1907",804,92738.0549032138,450959.602901916
" Kerkelijk Centrum Emmaüs","6716JE","0",1444,172913.000066442,447516.000557947
" Kerkelijk Centrum Open Hof","8265BB","2744",1064,190425.645421412,506819.0108113
" Kerkesteijn","4158CD","771",432,145341.000176555,432935.000123284
" Kerkgebouw De Ark","3141HH","1717",701,77564.9971419905,437140.002098042
" Kievietschool","2244AD","1128",937,84720.2520571221,459779.52944447
" Kindcentrum ""De Dompelaar""","5424TS","880",401,181539.218145957,399344.1384065
" Kindcentrum Berglaren","5421JH","2199",658,0,0
" KindCentrum Cascade","2273CS","1838",661,84918.1956231204,455137.142671912
" Kindcentrum De Ontdekkingsreizigers","2809RB","1931",852,106521.23639727,446271.186844611
" Kindcentrum de Samenstroom","5421VA","2324",774,176310.714094889,397083.470674426
" Kindcentrum de Wisselaar","4826AH","3197",643,112992.287194794,402845.732683228
" Kindcentrum Het IJzeren Kind","5246GB","2541",809,151875.700118411,411966.100414861
" Kindcentrum Olijfboom, gymzaal","7413TV","2452",715,207348.136168775,475037.479454024
" Kindcentrum Sterrenbosch","5235CG","1389",479,149762.000116459,415248.700416991
" Kindcentrum Zanddonk","5144GE","1978",450,132741.992344406,410162.996636671
" Kinderboerderij","2241WT","1882",411,88621.6880607437,462930.393446477
" Kinderboerderij De Werf","1098PX","1259",675,124859,485224
" Kindercentrum Rivierenwijk","7417WN","1018",202,209234.664170493,474362.750453594
" Kinderopvang Smallsteps Ridderzaal","1412CN","1443",738,138940.713953372,477512.055619783
" Kindervreugd","1095JS","2549",598,124979,486413
" Kleesjhal sportzaal","6135CV","1100",263,187368.167414593,335407.733338194
" Kleurrijk","2741XL","1611",467,104767.001779652,451960.044513929
" Klootschietvereniging Het Woudhuis","7325AG","0",2500,197999.646798319,470090.649997465
" Koeleman Potplanten B.V.","2461TZ","2021",525,109572.999936924,466360.001065255
" Koepelschool","6717AS","0",475,173181.000345144,449204.001048109
" Koning Willem I College / Vlijmenseweg","5223DE","1573",996,148059.600114874,411354.000414445
" Koningin Emmaschool","1405BM","1225",794,0,0
" Koningkerk","2273KR","1853",1558,83901.9444462044,454963.694515482
" Koningskerk","1097EP","0",1592,0,0
" Koningskerk","8016ET","1840",887,203668.917701471,500239.980460678
" Koningskerk, ingang Van Hetenstraat","7415BP","1817",762,207720.000169101,475734.000454435
" Korenmolen De Hoop","4854AV","816",477,115862.796136456,397911.928821378
" Korfbal- en tennisvereniging AVO","9403PA","1000",535,234493.99996096,559544.000519324
" Korfbalver. De Eemvogels","3768HB","0",184,0,0
" Korfbalvereniging Swift","1018ST","1254",969,122482,486808
" Kruispunt 2","7322GK","1103",2851,196187.734983056,470745.513629037
" Kulturhus Bornerbroek ()","7627PJ","500",1009,241474.996167692,481090.99798912
" Kulturhus De Borg","6909DW","1594",749,205261.30840836,435491.334374793
" Kulturhus De Spil","7434RZ","1068",772,215496.752176103,477312.750455244
" Kulturhus Diepenveen","7431CL","2077",1782,206741.000168175,478282.00045598
" Kulturhus Wekerom","6733AV","0",1467,177534.723112138,458204.711198758
" Kulturhus Wijthmen","8026PS","650",478,207926.028283679,500859.442657959
" KulturhusTrefpunt (Heeten)","8111AD","0",221,215886.993225293,483161.996128261
" Kumulus West","6211RB","0",694,175715.649351033,317932.227105288
" Kunstcircuit Deventer","7423DS","0",1773,211056.000172141,474369.000453564
" Kwadendamme","4434AC","805",468,49941.5523759785,383754.613907672
" LAB111","1054PD","977",651,119610.000105592,486331.000368274
" Leger des Heils","1824DW","1924",699,112751.49221053,517617.917637444
" Leger des Heils","4827GA","0",790,114099.042956368,402062.03210478
" Leger des Heils Amsterdam Oost","1092EA","845",695,123492,485747
" Leger des Heils De Kandelaar","1063BE","2100",861,117271,488519
" Leonardo Hotel Amsterdam Rembrandtpark","1057PH","3026",633,118004.525,486810.638
" Leonardo Royal Hotel Amsterdam","1096BK","1215",191,123014.925,482828.312
" Leontienhuis","2761JK","1613",216,100395,446094
" Lewedorp","4456AL","1455",721,41457.0685169932,390939.608006523
" Liemers College Zonegge","6903DK","1490",199,202102.090919576,439178.036348726
" Liemers College Zonegge","6903EP","1476",217,202111.237951439,438878.182919972
" Logtenberg op de Boerhaar","8131SW","1751",636,206942.000168206,487765.000461606
" Lola Luid","1062BJ","2262",425,117788,485910
" Lucaskerk","5216HB","1916",1099,150698.600117318,410455.100413868
" Lukaskerk","1825AT","1412",409,111520.414264221,518273.746004794
" Luthers Gemeentecentrum","6711NC","0",123,174178.000154389,450191.001071334
" M.F.A. Caleidoscoop","5251NG","1674",781,142096.393339921,411418.802176376
" M1 Gemeentehuis","2741HS","0",452,104795.238580893,450916.19783882
" M10 Voormalig schoolgebouw Wingerd 45","2742SC","0",267,104260.768476661,452266.563530585
" M14 De Morgenster","2743LW","0",492,103208.66747057,449854.65655095
" Maarten Luther Kerk","1079CT","1846",915,121466.872,483839.806
" Maartenshal (2)","2274KX","1838",1044,0,0
" Maastrichtse Verkennersband","6218AV","0",1240,174148.156772969,319586.026374348
" Maczek Memorial Breda","4812XA","811",419,110629.784524077,399410.540862607
" Majellakapel","1406PW","0",1619,139395.089391811,475858.446878122
" Maqam","1061BS","3167",417,117929.444,487993.005
" Maranatha-kerk","3141CC","1527",487,77587.0821088766,437601.079013273
" Maranathakerk","6741BG","0",549,170630.99989403,455242.00073347
" Maranathakerk (2)","2406AP","1197",1374,0,0
" Marcanti College","1051KM","1556",801,119517,487611
" Maris Stella","6226XZ","0",270,178183.457851193,318385.520196698
" Marius ten Catehof","1081ES","0",1110,118980,482285
" Marslanden - Restaurant Het Heemse","7773AH","1155",753,237242.200962691,510586.646029791
" Matchzo","1109BR","1292",722,129594.284941125,480159.741417877
" MAVO Schravenlant XL","3118LG","1379",213,85845.5997232743,437373.158483824
" MBO Rijnland","2405EN","704",269,105050.865872573,460808.764907396
" MEE Zuid-Limburg","6419BT","943",787,195820.240510856,320973.420372763
" Meeting Point De Nassaurie","6096DZ","1383",719,0,0
" MeetingDistrict","3438LC","1205",670,134768.286343347,451000.299328636
" Meininger Hotel Amsterdam Amstel","1097DN","1357",492,123125.578,484317.644
" Mencia de Mendoza Lyceum","4837CV","695",266,111729.229517145,397966.890403756
" Menno Simonszhuis/Dynamo","1081AS","1795",531,119504,482223
" MENS Servicecentrum De Bilt","3732EV","1000",721,140922.999803651,457829.000045281
" Mentrum","1054BR","2693",1230,120019.913,486436.345
" Mezz","4811HL","0",1929,112829.37381429,399604.194211063
" MFA ""de Sprank""","5425VR","1370",737,177369.533142112,394583.026403361
" MFA Centrum 't Dok ()","7607WC","500",518,241928.993519678,486598.99843018
" MFA De Kreek","1689XD","0",1580,135116.968399733,520481.627962773
" MFA de Soute Schakel","4374BB","1409",992,22668.9758605359,392185.22970631
" MFA Eninver ()","7604EH","500",1665,240702.994176241,486276.999149601
" MFA Kimpe veld","6005SR","958",445,179025.379302364,358247.536005719
" MFA Kloosterveste Maandag","9408ME","800",3374,230662.000131837,557635.000599346
" MFA Onderdak","4373DA","721",496,25851.3520010468,391641.249399232
" MFA Pittelo II","9406TH","800",670,232561.353313869,558601.986024687
" MFA Swartbroek","6005NP","739",329,181892.343318322,360123.862415372
" MFC de Baron 15 ","7772TV","0",963,0,0
" MFC de Baron 2e zaal","7701GM","1195",923,227474.948352936,513326.224069069
" MFC de Binder 15 ","7772TV","0",405,0,0
" MFC de Binder 2e zaal","7783HA","1345",982,241909.261507629,514384.43322802
" MFC De Buun ()","5855AD","0",955,203921.920608921,396482.193428825
" MFC De Kirke","4554AM","1647",645,46174.7162713164,361687.257780329
" MFC De Klaproos","5853AX","1703",663,205128.920655838,407129.33712238
" MFC De Statie","4551AL","2850",1161,43771.1510611319,361040.218185575
" MFC Het Stropievat","4543CM","2337",1191,51904.5157478053,369974.439420681
" MFC Huis op Hemert  15-3","4061AR","0",865,154845.522314493,428391.333393123
" MFC Lutten","7775CA","784",397,235367.623418727,514086.029644887
" MHC Almelo ()","7604AR","500",405,240402.254724596,485489.554856104
" Michaëlkerk","4817EA","1609",535,114509.064008405,400069.963208383
" Middelbare School Hogelant","1024VK","1063",314,125475,489852
" Minigolfclub De Trekvogels","2771ZT","1399",670,106574.998575369,455048.997488002
" Mobiel ","2435AD","0",333,112826.000301158,467193.00097901
" Mobiel ","3117CS","1379",289,86672.2181869566,436631.708069005
" Mobiel ","3123AX","1378",361,84715.321029117,439478.43353226
" Mobiel ","4575NG","638",282,50440.9228479133,358153.338955115
" Mobiel ","7734PB","0",210,220605.14149131,502949.964277669
" Mobiel  (bus)","6003NW","500",169,177365.576093662,365246.370817414
" Mobiel  (bus)","6004CA","500",233,0,0
" Mobiel  1","6419PJ","0",87,0,0
" Mobiel  2","6411NZ","0",217,196408.868092421,322496.488331522
" Mobiel  verzorgingshuizen","4001MV","0",262,0,0
" Mobiel Bijzonder  (1)","1829AC","0",60,0,0
" Mobiel Bijzonder  (2)","1814DE","0",28,0,0
" Molukse kerk Pniël","9406KM","800",243,232627.000131049,557966.000210631
" Montessorischool Steigereiland","1086WB","2113",784,127412,485977
" Moordrechtse IJsvereniging","2841BB","1613",556,105895.696369537,444657.905194921
" Motivaction International BV","1015ZL","1477",401,120226.000087418,487608.000590893
" Mr. Aafjesschool","4194RR","1653",1075,147753.999896219,431290.000205074
" Muiderkerk","1093EG","897",1477,123476,486079
" Multifunctioneel Centrum Binnenhof","1082LP","1526",1368,120307,482831
" Multifunctioneel Centrum De Reunie","6161SX","1250",505,185577.99423296,331217.001425302
" Multifuntioneel Centrum Sanderbout","6134TZ","1800",488,187385.994230368,333501.001399617
" Murmellius Gymnasium","1815DA","1641",705,111103.410122913,516473.494976371
" Museum Amsterdam Noord","1022AD","1468",696,123604,489026
" Museum de Meestoof","4697GE","1577",703,65475.2326621225,401795.248991262
" Museum Het Schip","1013WG","1978",1079,120058,489286
" Museumstoomtram","1624NN","0",1620,132483.30410225,517623.182674432
" Muzenval 2","5521AW","2065",2819,149678.985561324,374224.562265343
" Muziekschool Kumulus","6221BA","0",672,176952.853919357,317975.175234288
" Naarderheem","1411HB","1338",791,140112.999971624,478019.000158592
" Nat Lab","5616LZ","1950",1048,159663.283719455,384096.754900168
" Nederwoudschool","6741NE","0",706,167966.999811662,455732.000472034
" Nelson Mandela Centrum","2806JM","1881",729,109741.177050358,447395.305642535
" NH Amsterdam Zuid","1082GG","1422",806,120426,482202
" NH Caransa","1017CT","1103",280,121615,486620
" NH Collection Barbizon Palace","1012AD","804",488,0,0
" NH Museum Quarter","1071XL","943",668,120863,485443
" Nico Schuurmanshuis","5231PT","1289",687,149486.300116199,413023.700415542
" Nieuw Sion","7431PJ","289",264,210000.838171088,480286.774457117
" Nieuw-Apostolische kerk","6162GA","2025",339,185909.000399352,331648.000376311
" Nieuw-Apostolische Kerk","1068KK","853",346,116182.000204679,485176.999989605
" Nieuw-Apostolische Kerk Apeldoorn","7311HS","1556",342,194074.80285529,469449.272944488
" Nieuwdorp","4455TL","951",549,40202.2204448334,388119.871889014
" Nieuwe Veste Bibliotheek Zuid","4834TM","1626",1191,113875.601620819,397940.060534529
" Nisse","4443AE","519",354,48214.7382783315,386201.236394973
" NME-gebouw","6901BV","1720",506,201859.118203549,437737.111353861
" Noorderkerk","1015NA","1007",1480,120894,488082
" NOVA kantine","3721WZ","1330",198,140682.943866845,459411.151060348
" NS Centraal Station","6221BT","0",606,177383.683212704,317853.539911487
" NS Station","7943KC","0",310,0,0
" NS Station Breda","4811BN","1903",1120,0,0
" NS-station Ede-Wageningen","6711PN","0",150,174538.000210786,448895.00049601
" Nutsgebouw Zwammerdam","2471AT","0",527,109829.995018964,457743.99898004
" Oase Zorg","1093LA","875",204,123804,486045
" Oase/De Bron","1064ST","2162",489,116560,487673
" OBA Banne","1034CR","1312",526,123000.834,491204.499
" OBA Bijlmerplein/Imagine IC","1102DK","2353",313,125427,480925
" OBA IJburg","1087GN","2068",1162,128407,485489
" OBA Javaplein","1094HW","2240",1283,124454.832,486346.551
" OBA Molenwijk","1035EG","1405",1113,121377,492336
" OBA Olympisch Kwartier","1076DN","1285",609,118795,484285
" OBA Osdorp","1068EL","841",628,115465,485834
" OBA Slotermeer","1063JN","1625",921,116391.126,488091.362
" OBA Spaarndammerbuurt","1013SZ","1398",1168,120472,489127
" OBA Waterlandplein","1024NB","1398",1041,125569.174,489561.451
" OBS De Driemaster","1034SG","1811",355,123267,491199
" OBS De Kinderboom","1021BZ","959",312,123213,489075
" OBS De Klimop","1031CB","775",441,122932,489241
" OBS De Startbaan","3769JA","0",818,148674.493394057,458847.07770973
" OBS De Tweesprong","4817NX","0",1234,115264.108740602,400180.339029594
" OBS De Vier Windstreken","1034PX","1383",540,123343,491565
" Obs De Vlaamse Reus","1066KK","3473",523,116201,484549
" OBS De Witte Olifant","1011DB","984",653,122006,487390
" OBS DeTriangel","1381NA","1207",285,131134.494,479785.024
" OBS Het Kofschip","6903DK","1364",748,202102.090919576,439178.036348726
" OBS Het Vogelnest","1021CS","1031",273,122996,488870
" OBS Twiskeschool","1035VR","1247",878,121941,492443
" Odd Fellow Huis","1562RR","1647",459,112264.815792612,502562.93639739
" Ollie's Here we Meet","6165EN","2100",1079,186401.995880125,330456.974926104
" OLV kerk","3723KR","1858",822,143642.303871189,460832.928626995
" Olympiahal","3142NN","1604",732,77263.9974860568,438328.004627087
" Olympiaschool","1076BN","1573",567,119226.82,484070.171
" Olympisch Stadion","1076DE","1058",774,118741,484121
" Omnisport 2","7321MA","2167",804,196626.521768927,469270.638608073
" Ons Centrum","7435PJ","548",307,218596.000178864,479315.000456399
" Ons Dorpshuis","6012RJ","412",169,182377.320298081,355598.57636479
" Ons Dorpshuys","4924ER","607",308,0,0
" Ons Eigen Gebouw","4197HD","848",496,148226.999842256,433838.00104167
" Ons Trefcentrum","6433CZ","4089",730,192954.760208025,325129.700377963
" Ons Trefpunt Schuinesloot","7777RN","781",425,234275.975418358,518444.729725713
" Ontmoetingscentrum 't Stökske","5521WG","1700",435,150631.854384702,374064.634280372
" Ontmoetingscentrum Bergen ()","5854CW","0",1175,200950.337816384,401700.112514045
" Ontmoetingscentrum De Brug","2771GR","684",216,105094.994039154,454272.993667643
" Ontmoetingscentrum De Drie Eiken","3769VA","0",581,147843.259935468,459055.25098711
" Ontmoetingscentrum De Klarinet","3766GH","0",821,147470.44410093,464788.316316422
" Ontmoetingscentrum De Schouw","7607BT","1300",149,242115.000012897,486352.000931136
" Ontmoetingscentrum De Steeg","1399GS","1154",503,136554.000326531,482071.00010499
" Ontmoetingscentrum De Vloot","3144PC","0",1563,76356.9706893013,438523.003259499
" Ontmoetingscentrum De Walvis","2802SB","1469",731,107886.515421642,446670.249993058
" Ontmoetingscentrum De Werf","3124KE","1379",325,86304.2282994943,439899.568325661
" Ontmoetingscentrum De Zonzeel","4927BD","1458",762,110863.995229594,410763.000761415
" Ontmoetingscentrum Oud Sluys","3141CB","0",632,77264.0211936623,437650.000684137
" Ontmoetingscentrum Ouverture","2402DX","1539",543,105229.993880653,462626.990237978
" Ontmoetingscentum Oud Sluys","3141CB","0",353,77264.0211936623,437650.000684137
" Ontmoetingskerk","3738VC","2561",1203,140973.679409682,463185.910273025
" Ontmoetingskerk","6714CA","0",179,173110.742410518,450406.314372891
" Ontmoetingskerk Koudekerk aan den Rijn","2396HA","1459",397,100249.996392866,460609.998720113
" Oos Zittesj Hoes","6131GS","2100",699,189022.715791288,334638.556034967
" Oosterholthoeve","8271PS","2713",1072,192208.267182921,508393.379580635
" Oosterkerk","1018LS","0",3323,123150,487003
" Oosterkerk Hoorn","1621X","0",1409,0,0
" Oosterlichtkerk","3721MJ","1392",1024,141168.080120178,458677.569031021
" Oosterparkkerk","1091AC","1302",1157,122888,485897
" Op Moer 15 ","2751AW","0",643,99720.9922694105,451010.004575978
" Open Schoolgemeenschap Bijlmer","1103BE","2442",494,126239,481270
" Openbare basisschool De Wiz@rd","7425GX","3051",1644,212215,474959
" Openbare Bibliotheek Amsterdam","1011DL","740",445,122394,487658
" Openbare Bibliotheek Amsterdam","1051HE","1198",1271,119923,488103
" Openbare Bibliotheek Amsterdam","1057CA","843",1165,118431,486970
" Opstandingskerk","2404BB","0",679,104711.817688872,461045.545515104
" Orange Capital Partners","1077NR","891",966,119955.596211911,484386.445551597
" Orangerie (B)","5211NH","3960",1406,149535.700116242,411290.300414418
" Oranjehoek","2271SJ","1838",855,85481.350762631,454288.342176591
" Oranjekerk","1073AE","895",1861,121455,485130
" Orion College Amsterdam","1025NN","989",251,123906,489499
" Orpheus","7314BZ","1804",486,193660.283573202,470330.864113669
" Oud Gereformeerde Gemeente","4535AD","1487",352,48070.6831215676,371624.714936336
" Oud-Katholieke parochies Amsterdam","1071XA","830",868,120764,485259
" Oude Basisschool Kruisstraat","5249RD","1282",287,155626.900121886,415909.100417424
" Oude Kerk","2271CC","1838",1705,84854.6903912026,453777.380026347
" Oude muziekschool Kerklaan 1 Linker ingang","1961GA","2166",522,106398.39012036,502895.822954965
" Oudelande","4436AC","560",318,48450.4407765813,381054.701735142
" Ouder- en Kindteam Centrum Oost","1018RL","1535",602,123878,486935
" Ouderencentrum Butting Inn","6431JK","1500",448,193665.160378567,326155.390124853
" Ouderencentrum Hooghendael","6413ER","1120",258,195088.559921687,325139.10070477
" Ouderencentrum Vogelsanck","6413HV","1208",311,194461.770431077,325704.500428099
" Ouderencentrum Weijenberg","6431AZ","1840",537,192538.740238847,326572.519946799
" Ovezande","4441AE","983",591,46100.6503978591,383400.456769448
" Panama Amsterdam","1019BM","1852",704,123895,487557
" PANCAKES Amsterdam Zuidas","1082MK","0",1458,119950.23202202,483302.929807494
" Pand 17","9403VB","1600",633,235599.999943218,558874.000318133
" Pannenkoekenhuis de Langenberg","6711HJ","0",2386,175875.000474298,450362.000021173
" Papenstraattheater","8011PL","1840",432,202865.454126393,502927.194253669
" Park Zuiderhout","4847DK","1394",349,116513.012093694,403287.820524187
" Parkpaviljoen","5141HC","1556",554,132443.255946228,411200.24088967
" Parktheater","5615CN","1",1649,161761.560625806,382220.937244957
" Parktheater (Elzentlaan 50)","5615CN","3405",825,161761.560625806,382220.937244957
" Parochie de Kapelaan","2712AV","1907",393,93790.5269414472,452469.282802784
" Parochie De Sloep Mariakerk","1404EX","1448",279,139650.49991595,476572.027614662
" Parochiecentrum Emmaüshuis","7311KB","2052",747,194674.812055497,469365.899223492
" Parochiecentrum Haelen","6081BA","1763",731,194816.622985435,360995.859111636
" Parochiehuis Hunsel ","6013RK","0",533,184738.225377806,355555.381860206
" Parochiekern De Goede Herder parkeerterrein","2243CZ","500",372,85274.76,459357.105
" Parola","2461CE","2366",1236,108843.000398758,467423.000003243
" Party- & Zalencentrum Le Patapouf","2805CG","2217",913,108780.999505764,448338.998005072
" Party-Centrum 't Trefpunt","2435XP","2479",870,0,0
" Partycentrum ""D'n Eik""","5764PR","934",511,184363.726148604,395894.520404193
" Partycentrum de Griethse Poort","6901HK","0",2017,202427.573988715,438421.622767213
" Pastoor van Arskerk","6164GL","2000",410,186042.163178629,329622.205352919
" Pastorie Vredeskerk","1072JS","3363",1099,121126,484812
" Pathé","6716JE","0",597,172913.000066442,447516.000557947
" Pathé Amsterdam Noord","1025XL","1401",805,124083.000337301,490430.00096748
" Pathé Arena","1101DS","1077",419,124893,480581
" Pathé bioscoop, Cine café","6211XZ","0",213,176310.096140333,318430.8314604
" Pathé de Munt","1017HD","899",290,121372,486622
" Pathé Ede","6716JE","0",2539,172913.000066442,447516.000557947
" Pestana Amsterdam Riverside","1074HZ","2422",1340,122295.375,485160.94
" Petanquecentrum Nieuwegein II","3437PJ","1205",1653,133768.931915173,452357.932310789
" Petrakerk","6718WB","0",591,172497.51329814,452207.265987433
" PG Kerk Oud Avereest-Balkbrug","7707AK","1104",420,222138.869999747,512827.623016215
" PH Almelo","7608HB","1300",244,242400.995448242,489166.993970226
" Philadelphia Zorg Amsterdam","1053DX","2725",526,120046,486791
" Pieter Jelles Troelstraschool","1067CG","2659",596,115462.616,487650.109
" Pinkstergemeente De Banier","7607NG","1300",977,242682.994400859,485762.999584438
" PKN Gemeente De Oase","2715RP","1907",408,92342.29582369,452540.925868369
" PKN Ichthuskerk","2724EZ","1907",985,95034.006806565,453584.983178735
" PKN Oosterkerk","2721ND","1907",3622,96997.5775620886,452636.633178893
" Planetarium Meeting Center Amsterdam","1108JA","1501",743,127754,480381
" Plataan","1689GM","0",771,133948.08125437,520159.977964973
" Pleyn68","2394AJ","523",298,98211.9943423105,460803.991080796
" PlusPunt Eigenwijks Geuzenveld","1067DD","1252",829,115196,487956
" Pniëlkerk","7606GX","1300",794,240806.993012291,484812.997190588
" Podium Bloos","4815CD","339",393,112255.654696895,401344.636141453
" Podium Mozaïek","1055DT","2427",1023,118704,488157
" Poelewei","4817JP","1154",659,114542.359867506,400272.813725946
" Pop-up  Eesterwaard - Meerzicht","2716XH","1906",978,0,0
" Pop-up 5 Meistraat - Dorp","2712VD","1906",619,94357.4085733167,451870.172387781
" Pop-up Nieuwlandstraat-2 - Oosterheem","2729DV","1906",2296,0,0
" Pop-up Pilatusdam - Dorp","2712BD","1907",1719,94148.1943120761,452152.010051603
" Pop-up Sartrezijde - De Leyens","2725PR","1906",1055,93838.2158574361,454056.292182471
" Pop-up Sumatra- 2 Oosterheem","2711GG","1906",1162,0,0
" Popei Klokgebouw","5617AD","2924",583,159891.133799354,384472.164878156
" Poppodium Nieuw Nor","6411KC","647",498,196788.870223882,322180.639895392
" Portakabin nabij Basisschool De Windhoek","4844SL","1576",411,111558.995203967,406355.000786687
" Portakabin nabij Basisschool De Zeggewijzer","4844RD","1734",446,111296.995205563,406347.000787997
" Portakabin parkeerplaats Albert Heijn","4921CZ","1346",394,113261.036082595,409691.59341312
" Postduivenvereniging ""Soest""","3763LZ","0",833,146961.089809669,465490.633024923
" Postduivenvereniging de Zwaluw","5245NE","1322",744,0,0
" Postduivenvereniging Holthuizen","7335GT","2377",1052,193516.856216493,467861.160210781
" Posthoornkerk","1013EX","0",3049,121170.765,488256.471
" Posthoornkerk","1016EX","814",535,0,0
" Praethuys 't Slot","1623JD","0",723,133784.269538246,517323.83519578
" Praktijkschool Het Bolwerk","4336LM","1164",754,31621.1646955146,390109.195719178
" Pro Rege Hemsterhuis","1065JX","827",652,116583,486042
" ProGym","2181CD","1410",783,100630.997616668,478878.999149209
" Projectbureau Triangel","2742KK","1249",351,103755.653432472,449739.57449106
" Pronova College","3118BB","1379",900,86131.9748396505,436953.674001965
" Protestantse Gemeente Hoek","4542AE","2406",1143,42792.7807526558,370103.124814598
" Protestantse Gemeente Nieuwendam","1023BH","0",1364,124597,489404
" Provincie Limburg (het LAB ingang parkeerdek)","6229GA","0",256,177153.232427705,316742.256386502
" Provinciehuis","5216TV","1272",530,151045.400117639,409923.300413521
" Provinciehuis Drenthe","9405BJ","1000",826,232339.000205956,556027.000662014
" Provinciehuis Zeeland","4331SG","1660",981,0,0
" Puur Zuid","1079EK","1213",1101,122234,484222
" Quintus","8261GC","1391",787,190984.420642825,507535.173285308
" R.K. Basisschool De Mijlpaal","1066PP","2417",1053,115427,484534
" R.K. kerk H. Alphonsus de Liguori","7776AG","822",430,234166.9491848,516124.191723081
" Raadhuis De Paauw 16 ","2242CP","897",1874,87301.8200595083,461304.449445451
" RAI","1078GZ","0",2189,121110,483817
" Ravestein","4191TS","1383",357,148015.492792091,432226.458931142
" Recreatiecentrum Den  Asseldonk","5854CC","1892",782,201028.416615204,401518.835539634
" Recreatiezaal Beethovenflat","3122VL","1379",675,84866.3918556647,438316.402177808
" Recreatiezaal Parkzicht","8023XT","1840",394,204124.817689214,502633.778109467
" Regenbooggemeente","1065GJ","0",1308,116721,485358
" Regionaal Historisch Centrum Limburg","6211JM","0",444,176518.38522114,317372.830854619
" Rehobothkerk","3762AL","0",248,148373.798330354,465169.713870856
" Rehobotschool","2743GC","1426",460,103983.325952612,450529.625
" Residence Souveraine","3761XD","0",877,148492.655887162,466662.195226639
" Restaurant ""De Bootsman""","7737PE","1196",462,229309.421987266,506614.262548159
" Restaurant ""De Nieuwe Brug""","7731PR","930",413,225432.000528612,500675.000192043
" Restaurant De Ridderhof","3141XN","1556",643,78074.9690244278,437397.995846153
