"Street/Name","stationcode","Zipcode","Invited","Turnout","merger"
"Gemeentehuis* Kerkdriel","2","5331CB","2196",815,"263 2"
"Gemeentehuis14 ","16","3831NA","0",1244,"327 16"
"Gemeentekantoor","126","7121DM","0",470,"197 126"
"Gemeentekantoor","3","7101GH","1632",4713,"294 3"
"Gemeentekantoor","36","4223ME","0",3009,"1978 36"
"Gemeentekantoor","402","3361HJ","359",2486,"610 402"
"Gemeentekantoor Heerde","5","8181ET","1720",813,"246 5"
"Gemeentekantoor Pijnacker","1","2641ED","1485",863,"1926 1"
"Gemeentekantoor Teylingen 15 ","1525","2171CS","0",4071,"1525 28"
"Gemeentelijk ","600","3941HV","0",0,"1581 600"
"Gemeentelijk  Maandag 14  2022","1","6891CL","0",205,"277 1"
"Gemeentelijk Stembureau","21","7651CK","0",0,"183 21"
"Gemeentelijk Stembureau 16  2022","17","4711RW","0",0,"840 17"
"Gemeentelijke  Dinsdag 15  2022","2","6891CL","0",229,"277 2"
"Gemeentelijke gymzaal Nieuwerkerk, ingang via Burg.van Eetenstraat","9","4306CN","1085",643,"1676 9"
"Gemeentelijke gymzaal Oosterland","11","4307BP","944",485,"1676 11"
"Gemeentelijke Sportzaal Eikenrode","7","1231BN","1945",629,"1696 7"
"Gemeentemuseum","426","2517HV","1328",834,"518 426"
"Gemeentewerf","60","1185XW","1235",107,"362 60"
"Gemeentewerf","777","4877AE","1677",1662,"777 11"
"Gemeentewerf 3","1655","4731RA","2100",423,"1655 3"
"Gemeentewerf Dalfsen","25","7721CZ","1547",626,"148 25"
"Gemeentewerf Drive-in open op 15-03-2022","28","8253PW","0",417,"303 28"
"Gemeentewerf Escapade","80","1183NM","1235",198,"362 80"
"Gemeentewerf Grootegast","39","9861GK","982",237,"1969 39"
"Gemeentewerf Katwoude","7","1145PM","247",187,"852 7"
"Gemeentewerf Lopik ()","16","3411MB","0",651,"331 16"
"Gemeentewerken Woensdrecht (buitendienst)","8","4631RH","1910",452,"873 8"
"Gemeetehuis Beuningen","1","6641AE","1186",631,"209 1"
"Georgiuskerk Terborg","30","7061CH","0",2626,"1509 30"
"Ger. Gem. in Nederland ""De Hoeksteen"" II","39","3772PP","1268",894,"203 39"
"Gerardushuis","5","5752AP","1337",950,"762 5"
"Geref Gemeente Kerk Genemuiden","14","8281NA","1608",642,"1896 14"
"Geref. Gemeente in Nederland ""De Hoeksteen I""","216","3772PP","0",1682,"203 216"
"Geref. Kerk(Vrijgem.)","6","7721XM","1058",849,"148 6"
"Geref.Gemeente in Nederland De Hoeksteen I","16","3772PP","2521",929,"203 16"
"Gerefomeerde Kerk De Hoeksteen","5","4271AN","897",417,"1959 5"
"Gereformeerde Kerk Bleiswijk Open Hof I","19","2665BJ","0",1080,"1621 19"
"Gereformeerde Kerk de Bron","110","3972DC","0",682,"1581 110"
"Gereformeerde Kerk Giessen-Rijswijk","15","4284EX","1507",644,"1959 15"
"Gereformeerde Kerk Haamstede","18","4328EA","1855",939,"1676 18"
"Gereformeerde Kerk Morgenster","2","7555MH","1799",978,"164 2"
"Gereformeerde kerk Nijeveen","38","7948BR","1557",634,"119 38"
"Gereformeerde Kerk Open Hof","7","3342BS","1477",760,"531 7"
"Gereformeerde Kerk Vrijgemaakt","24","8326AV","802",471,"1708 24"
"Gereformeerde Kerk Vrijgemaakt","5","6706BE","1867",860,"289 5"
"Gereformeerde Kerk Vrijgemaakt","24","2231SE","1730",977,"537 24"
"Gereformeerde Kerk, ingang. W. Droststraat","10","3372XH","1413",660,"523 10"
"Gereformeerde Tabernakel kerk","15","8171EH","0",606,"232 15"
"Gerkesklooster, Dorpshuis Rehoboth 16 ","15","9873RE","846",450,"59 15"
"Gerrit van Riemsdijkhuis","19","4053JN","890",555,"1740 19"
"Gezondheidscentrum Fleminghof","14","7622MB","825",534,"147 14"
"Gezonheidscentrum Via Antiqua","22","2211HW","1796",1090,"575 22"
"GGD Groningen","133","9713GW","1311",334,"14 133"
"GGZ Delfland gebouw De Draeck","46","2612GA","69",19,"503 46"
"GGZ Huize Padua","3","5427EM","702",253,"755 3"
"GHHC Groningen","712","9751NL","1311",579,"14 712"
"Gilde Opleidingen","7","5913ES","1481",699,"983 7"
"Gildegebouw Netterden","7","7077AG","395",234,"1509 7"
"Gildehuis 'St. Oswaldus' Zeddam","20","7038BG","1262",268,"1955 20"
"Gildenbond","3","5171JM","1620",577,"809 3"
"Gildenplein","221","4204BL","0",1700,"512 221"
"GKBS Adventkerk","8","3752EW","1679",804,"313 8"
"GKV ""De Akker""","26","7681RE","1216",363,"1700 26"
"GKV Het Baken","6","2661TP","0",787,"1621 6"
"GKv Kandelaarskerk","17","9471PR","1532",841,"1730 17"
"Glenn Millerpad 66","541","3543GG","1602",2241,"344 541"
"Gloriantdreef 1","50","3562KW","1606",900,"344 50"
"Goed Nieuws Gemeente","101","7533XW","2093",633,"153 101"
"Goede Herderkerk","5","3772BL","1428",1355,"203 5"
"Goede Herderkerk","17","1272JR","1146",662,"406 17"
"Goede Herderkerk","28","2982BT","1223",471,"597 28"
"Goede Herderkerk","6","2382AS","1277",372,"638 6"
"Goede Herderkerk ","31","1272JR","0",1115,"406 31"
"Goeree 6","406","3524ZZ","0",4074,"344 406"
"Gooise Atletiek Club (16-03-2022)","19","1213NZ","601",332,"402 19"
"Gooizicht (16-03-2022)","4","1217SH","1475",331,"402 4"
"Gorcums Museum","3","4201EB","1481",436,"512 3"
"Gorredijk, De Skâns","1506","8401DV","0",3465,"86 1506"
"Gorredijk, Ontmoetingskerk","18","8401RX","1674",613,"86 18"
"Gorredijk, R.K.-kerk","7","8401RV","1235",359,"86 7"
"Gorredijk, Sportcentrum Kortezwaag","5","8401AA","1412",335,"86 5"
"Gossen dans- en partycentrum","4","9501CR","1080",276,"37 4"
"Gouden Handen","8","7041AV","2432",904,"1955 8"
"Gouden Handen (stemmen 15  2022)","26","7041AV","0",1266,"1955 26"
"Gouden Koetslaan 97","170","3451WE","1676",861,"344 170"
"Goudenregenschool (16-03-2022)","21","1214NC","2544",949,"402 21"
"Goutum Dorpshuis Ien en Mien","2009","9084BB","0",6216,"80 2009"
"Grand Café de Brink","5","7991CH","1378",538,"1701 5"
"Grand Café de Brink, vervroegd stemmen ","18","7991CH","0",632,"1701 18"
"Grand Café de Kroon","10","7475BT","1442",985,"1735 10"
"Grand Cafe de Post","32","1679GJ","960",1376,"420 32"
"Grand Café Het Witte Huis","11","9483PH","483",336,"1730 11"
"Grand Hotel Voncken","3","6301DC","1819",816,"994 3"
"Grand Salon Plein 7 ()","27","3441BG","0",4882,"632 27"
"Grandcaé LiBo Aalden","28","7854PG","0",189,"109 28"
"Grandcafé & Hotel LiBo","24","7854RR","1843",1006,"109 24"
"Grasveld kruising De Gaarde (stemtent)","390","2542CN","2717",777,"518 390"
"Grescollege","8","5953HL","1141",210,"889 8"
"GRID Grafisch Museum Groningen","101","9712JN","1396",598,"14 101"
"Grinthuus","5","8095PX","1204",549,"269 5"
"Groen van Prinsterer","7","9101CL","1311",578,"1970 7"
"Groen van Prinstererschool","11","2224SZ","1851",1186,"537 11"
"Groepsaccomodatie de Koebel","20","4328LM","1012",592,"1676 20"
"Groepswonen voor Ouderen","43","2287EE","1646",434,"603 43"
"Groninger Archieven","602","9726AD","1311",422,"14 602"
"Groot Bijstervelt (Kapel)","13","5688NM","1411",684,"823 13"
"Grote Kerk","2","8861ES","1631",662,"72 2"
"Grote Kerk","21","7161DP","1384",675,"1859 21"
"Grote Kerk","206","3311CJ","1546",692,"505 206"
"Grote Kerk (vervroegd 15-03-22)","211","1211BV","0",1073,"402 211"
"Grote Kerk Markt","18","6701CX","1201",1561,"289 18"
"Grote Kerk op 16  2022","7","6883HT","1780",520,"275 7"
"Grote zaal Chr. Ger. kerk","25","4251DG","1651",845,"1959 25"
"Grou Het Theehuis","2011","9001BG","0",2679,"80 2011"
"Grou Sint Piterkerk","62","9001AA","1738",578,"80 62"
"Grou Sporthal de Twine","61","9001LB","1484",1012,"80 61"
"GTV Van Starkenborgh","401","9731BW","1311",738,"14 401"
"Gym lokaal de Wimpel","4","8081JS","1720",1042,"230 4"
"Gymlokaal Algraschool","25","8925AG","1429",581,"80 25"
"Gymlokaal Bant, Noordakker 1","31","8314AH","1161",603,"171 31"
"Gymlokaal Breemarsweg 481 A  (B)","32","7555KA","1463",1974,"164 32"
"Gymlokaal Cruys Voorberghstraat 105 (B)","38","7558WV","1675",1801,"164 38"
"Gymlokaal de Bargerpaske","9","7103AW","1599",1689,"294 9"
"gymlokaal De Heidepolle, Wolvega","6","8471VM","0",565,"98 6"
"Gymlokaal De Noord","8","8194LK","696",421,"246 8"
"Gymlokaal De Rhijnsberg","4","8181XW","1988",1029,"246 4"
"Gymlokaal de Stegeman","11","7101BG","1103",717,"294 11"
"Gymlokaal De Trans","114","7827DZ","1882",519,"114 65"
"Gymlokaal De Wielen","26","8925GZ","1409",1005,"80 26"
"Gymlokaal Drachtsterweg","30","8934BV","1593",287,"80 30"
"Gymlokaal IKC Trianova","23","8926NA","1487",654,"80 23"
"Gymlokaal Jachthoorn","114","7833CX","1411",248,"114 63"
"Gymlokaal Klaas de Rookstraat 61","33","7558DJ","1527",640,"164 33"
"Gymlokaal Meddo","20","7104BB","1224",792,"294 20"
"Gymlokaal Menno van Coehoorn","27","8921BJ","1386",391,"80 27"
"Gymlokaal Pampuspad,	Pampuspad 47","11","8304DR","1526",222,"171 11"
"Gymlokaal Pampuspad, Pampuspad 47 Emmeloord","46","8304DZ","0",507,"171 46"
"Gymlokaal Telemannstraat","57","8915CC","1041",329,"80 57"
"Gymlokaal Valkenveld 2","114","7827HG","1450",2268,"114 67"
"Gymlokaal Wollegaastdam","54","8918GE","1149",245,"80 54"
"Gymnastieklokaal Lageweg","1742","7451CS","1816",955,"1742 14"
"Gymnastieklokaal O.b.s. De Brink","114","7812PK","2293",373,"114 24"
"Gymnastieklokaal Welleweg","1742","7462GD","1847",933,"1742 6"
"Gymnastiekzaal 't Gegraaf","515","5552BG","0",1636,"858 515"
"Gymzaal  bureau 2","203","3315AS","1052",953,"505 203"
"Gymzaal  Goudenregen","4","2641AV","1851",956,"1926 4"
"Gymzaal 't Baken","612","5706CW","2509",907,"794 612"
"Gymzaal 't Kofschip","345","3904RS","1552",1232,"345 11"
"Gymzaal 't Uulke","23","6235BM","1128",488,"938 23"
"Gymzaal Aardenburg","1714","4527CJ","1935",932,"1714 13"
"Gymzaal Agaatstraat","342","9743HW","1311",1508,"14 342"
"Gymzaal Aleoeten","9","2904VA","1200",631,"502 9"
"Gymzaal Amsterdamweg","128","1324RL","1416",376,"34 128"
"Gymzaal Aprilstraat","136","1335BL","1905",604,"34 136"
"Gymzaal Ariaweg","47","3816HJ","865",424,"307 47"
"Gymzaal Armenhoef, bij de Odaschool","206","5491GC","1741",746,"1948 206"
"Gymzaal Atmosfeerstraat","275","3328GD","1147",719,"505 275"
"Gymzaal Basisschool de Bolderik","11","4273ET","1885",796,"1959 11"
"Gymzaal Basisschool De Dukdalf","156","2317VX","0",2081,"546 156"
"Gymzaal basisschool De Omnibus","16","4385HT","1881",376,"718 16"
"Gymzaal Basisschool De Stevenshof","162","2331DV","0",1567,"546 162"
"Gymzaal basisschool Klavertje Vier","1729","6287BB","1427",949,"1729 10"
"Gymzaal basisschool Louise de Coligny","5","4384EV","1673",910,"718 5"
"Gymzaal Bergeijkstraat","855","5043BC","1844",1005,"855 55"
"Gymzaal Berkelseweg","855","5056PN","1844",421,"855 77"
"Gymzaal Berliozstraat","30","2901GA","1665",1143,"502 30"
"Gymzaal bij Amazone","58","2135MC","1788",284,"394 58"
"Gymzaal bij de Schakel","106","5482DA","1435",681,"1948 106"
"Gymzaal bij de Westwijzer","65","1187ZS","1235",524,"362 65"
"Gymzaal bij Het Schateiland","2","2941SE","1229",491,"1931 2"
"Gymzaal BMV Bronsheim 2","005","6442AJ","1564",715,"899 005"
"Gymzaal Booyenverlaat (vh De Schuthoek)","24","7908EE","1562",716,"118 24"
"Gymzaal Bornholm","13","2133DW","1646",514,"394 13"
"Gymzaal Bosgouw","15","1352GW","1859",896,"34 15"
"Gymzaal Braambos","64","2134XL","2077",647,"394 64"
"Gymzaal BS Inghelosenberghe","18","4564AH","1493",490,"677 18"
"Gymzaal Buitenhof","124","1354GR","1933",443,"34 124"
"Gymzaal C. van Eesterenplein","157","1333HH","1815",532,"34 157"
"Gymzaal Cederstraat","855","5037JD","1844",356,"855 21"
"Gymzaal Cranberrylaan","437","1326JR","0",658,"34 437"
"Gymzaal Cromvlietstraat Rilland","11","4411AE","1120",506,"703 11"
"Gymzaal Curiestraat (vh Flt Weideheem I)","15","7909BT","1214",475,"118 15"
"Gymzaal Daltonschool  De Tweemaster","6","2641MM","1858",757,"1926 6"
"Gymzaal Danslaan","113","1326PL","2020",375,"34 113"
"Gymzaal De Borg","33","8226TA","1719",472,"995 33"
"Gymzaal de Boskern","17","2134SB","1593",534,"394 17"
"Gymzaal de Brug","779","4941AD","0",432,"779 7"
"Gymzaal De Dolfijn","53","2025NA","1919",739,"392 53"
"Gymzaal de Dreef","375","1943DD","0",909,"375 13"
"Gymzaal De Erven Oost, Espelerlaan 71","3","8302DC","1235",602,"171 3"
"Gymzaal de Fonkel (ingang Dasstraat)","107","5701VE","2274",166,"794 107"
"Gymzaal De Grote Boel","283","6515ZX","0",2513,"268 283"
"Gymzaal de Halm","12","5688SK","1454",524,"823 12"
"Gymzaal De Havenrakkers","18","1151BA","0",2251,"852 18"
"Gymzaal de Havezate","703","7581WB","1768",549,"168 703"
"Gymzaal De Heivelden","15","5685HS","0",5874,"753 15"
"Gymzaal De Helt","6","1611ZL","1596",693,"532 6"
"Gymzaal de Koprol","11","6241BB","1972",616,"938 11"
"gymzaal de Krul","3","4461JA","1538",821,"664 3"
"Gymzaal de Kwartslag, Venelaan 3","30","8313AA","1303",656,"171 30"
"Gymzaal de Ljurk","4","9101GX","1053",516,"1970 4"
"Gymzaal de Meent","53","1188AM","1235",657,"362 53"
"Gymzaal de Meet 1","2","1911GA","1474",604,"450 2"
"Gymzaal de Schulp 2","19","2134DD","1510",1373,"394 19"
"Gymzaal De Spil","36","8448RP","956",3092,"74 36"
"Gymzaal de Straap","402","5709KG","2114",227,"794 402"
"Gymzaal de Tender op 16  2022","23","6952BA","1273",468,"275 23"
"Gymzaal De Velduil","9","3993GE","0",886,"321 9"
"Gymzaal de Vendelier","611","5706KH","2720",1227,"794 611"
"Gymzaal De Viersprong","18","2033WK","1248",346,"392 18"
"Gymzaal De Vlasakker","705","7582AT","1743",511,"168 705"
"Gymzaal De Weegschaal","276","3328PC","1398",383,"505 276"
"Gymzaal De Zeevaarder, Skagerrak 3","2","8303VA","2174",360,"171 2"
"Gymzaal de Zonnesteen","2","5571HS","2402",157,"1724 2"
"Gymzaal Deetoshal bureau 2","68","3317KZ","1315",680,"505 68"
"Gymzaal Dierdonk","407","5709PZ","1943",769,"794 407"
"Gymzaal Dintelstraat","25","3313GT","1251",396,"505 25"
"Gymzaal Donizettistraat","855","5049KN","1844",230,"855 35"
"Gymzaal Dopheide","49","3823HL","865",2351,"307 49"
"Gymzaal Dorus Rijkersrede","28","2901CL","1789",298,"502 28"
"Gymzaal Droge Mark","5","4761JB","1700",520,"1709 5"
"Gymzaal EBC Noord, bij bs De Vossenberg","109","5481HD","988",292,"1948 109"
"Gymzaal EBC Oost, bij bs de Beemd","102","5482KE","1748",517,"1948 102"
"Gymzaal Eerste Groenelaan","3","1901TD","1907",792,"383 3"
"Gymzaal Eimers/ Basisschool Mozaïek","64","6834CZ","2371",535,"202 64"
"Gymzaal Ellertsveld","20","1274KC","2042",638,"406 20"
"Gymzaal Engelse Tuin","4","5591BP","1428",681,"1658 4"
"Gymzaal Espel, Noorderrand 36 Espel","28","8311AX","1193",587,"171 28"
"Gymzaal Gasthuisstraat (naast St. Trudoschool)","2902","5708HK","0",4077,"794 2902"
"Gymzaal Goudmos (2)","345","3904JZ","1834",3188,"345 28"
"Gymzaal Gouverneurslaan (2)","345","3905HE","1941",2162,"345 19"
"Gymzaal Gruttoweg","10","1873JC","1541",752,"373 10"
"Gymzaal Hart van Meerdervoort 2","642","3333VE","0",987,"642 22"
"Gymzaal Heimerstein","284","3328ME","1893",772,"505 284"
"Gymzaal Het Buut","723","9752ND","1311",781,"14 723"
"Gymzaal Het Kleurenorkest","17","1906CC","2457",1160,"383 17"
"Gymzaal het Raan (Raalte)","90","8103EH","1807",1160,"177 90"
"Gymzaal Het Riet","631","7544HH","1987",293,"153 631"
"Gymzaal Hobostraat","202","5702TH","1584",384,"794 202"
"Gymzaal Hoogvonderen","10","6043SG","1529",444,"957 10"
"Gymzaal IJhorst","19","7955PS","0",2227,"180 19"
"Gymzaal IJzendijke","1714","4515AT","2072",1088,"1714 10"
"Gymzaal in de Breedte 2","85","2134DL","503",494,"394 85"
"Gymzaal It Rak","10","8605CR","954",345,"1900 10"
"Gymzaal Jacobushoek","6","5672HZ","2880",935,"820 6"
"Gymzaal Jan Hogervorst","4","1861LN","1888",761,"373 4"
"Gymzaal Jan Wolkerslaan-II","11","2343BK","1589",1953,"579 11"
"Gymzaal Joannes Riviusstaat","9","6181BT","1417",919,"971 9"
"Gymzaal Johan Jongkindstraat 2","138","1318LW","2122",1516,"34 138"
"Gymzaal Kapteynlaan","251","9714CL","1311",563,"14 251"
"Gymzaal Kindcentrum Warande (2)","41","8245HW","1122",1262,"995 41"
"Gymzaal Klerkenhof","547","2353WB","0",1096,"547 6"
"Gymzaal Klundert Spido","10","4791JN","1541",596,"1709 10"
"Gymzaal Koekoekstraat (ingang Reigerzaal)","108","5702PT","1648",508,"794 108"
"Gymzaal Koolzaaddreef","1930","3204GK","2423",443,"1930 17"
"Gymzaal Kornetstraat","158","1312XE","1823",779,"34 158"
"Gymzaal Kraggenburg, Noordermeent 4A Kraggenburg","23","8317AA","1204",632,"171 23"
"Gymzaal Kruidenlaan","11","4907AB","2463",1085,"826 11"
"Gymzaal Kruidenpad 15  2022","1529","3137WD","0",1790,"622 1529"
"Gymzaal Kuikensweg","375","1944EL","0",4781,"375 7"
"Gymzaal Landstrekenwijk (2)","39","8245ER","1119",3647,"995 39"
"Gymzaal Langelaar (2)","345","3905WK","1508",1886,"345 26"
"Gymzaal Langemeerstraat","10","1135JE","1590",637,"385 10"
"Gymzaal Leenhof","23","6371HX","719",200,"882 23"
"Gymzaal Leeuwardenplein","130","1324BH","1535",269,"34 130"
"Gymzaal Lelystad-Haven (2)","37","8244AH","1398",2786,"995 37"
"Gymzaal Leo Kannerschool","3","2343SZ","1318",569,"579 3"
"Gymzaal Liduinaschool","47","2042TL","2100",1318,"392 47"
"Gymzaal Lingestraat","131","1316CS","1491",348,"34 131"
"Gymzaal Linquenda","27","2151TA","1687",445,"394 27"
"Gymzaal Lissabonweg","25","3137LR","2422",651,"622 25"
"Gymzaal Luitstraat","435","1312LG","0",2800,"34 435"
"Gymzaal Lunenburg","642","3332RD","0",233,"642 17"
"Gymzaal Luttelgeest, Sportstraat 28","20","8315AM","1242",629,"171 20"
"Gymzaal Lyceum De Amersfoortse Berg","51","3818TA","865",1114,"307 51"
"Gymzaal Makassarweg","156","1335HZ","2159",257,"34 156"
"Gymzaal Margrietschool","17","3446BT","1831",1181,"632 17"
"Gymzaal Maria Duystlaan","20","2612SR","2235",1061,"503 20"
"Gymzaal Meerssen West","4","6231HK","1587",375,"938 4"
"Gymzaal Meerssenstraat","855","5045JB","1844",1179,"855 57"
"Gymzaal Meerveldplein","126","1359HM","2128",885,"34 126"
"Gymzaal Meerwijk","451","1423ET","1585",872,"451 2"
"Gymzaal Mercuriusstraat","1930","3204BM","1898",3531,"1930 8"
"Gymzaal MFC De Akkers","14","8443AJ","1110",1662,"74 14"
"Gymzaal Mingersbergstraat","855","5045EN","1844",958,"855 76"
"Gymzaal Montessorischool","42","1181NC","1235",873,"362 42"
"Gymzaal Montgolfierstraat","301","5703EE","1988",390,"794 301"
"Gymzaal Moorveld","18","6237NP","1205",449,"938 18"
"Gymzaal Mozaïk","4","7204CV","1849",633,"301 4"
"Gymzaal naast D'n Brak","15","5464VR","1510",721,"1948 15"
"Gymzaal naast OBS de Piramide","25","2981AX","1163",341,"597 25"
"Gymzaal Nieuwe Sint Jansstraat","132","9711VG","1311",542,"14 132"
"Gymzaal Noorderdreef","22","2152AA","1634",455,"394 22"
"Gymzaal OBS De Optimist","5","8447BS","1343",1665,"74 5"
"Gymzaal OBS Het Vogelnest","10","8446HX","1152",453,"74 10"
"Gymzaal OBS Noorderlicht","10","8862WC","1310",500,"72 10"
"Gymzaal Ockenburg","78","3328TG","848",360,"505 78"
"Gymzaal Offenbachlaan 15  2022","23","2102ZL","0",2087,"397 23"
"Gymzaal Olympia  Landgraaf (ipv school De Wegwijzer)","203","6374AE","1260",178,"882 203"
"Gymzaal Om de Noord","2","1616PB","2347",674,"498 2"
"Gymzaal Oostelijk Halfrond","38","1183EZ","1235",522,"362 38"
"Gymzaal Ottawastraat","222","7009CZ","0",368,"222 11"
"Gymzaal Otterdonk","7","5103GN","2452",767,"766 7"
"Gymzaal P.C. Hooftstraat","3","2985BK","1107",215,"597 3"
"Gymzaal Papaverstraat","24","2153BV","1668",593,"394 24"
"Gymzaal Paulus Potterlaan","206","5702CV","2315",573,"794 206"
"Gymzaal Pax 1","8","2131VN","1196",546,"394 8"
"Gymzaal Piersonstraat","11","8072XC","1350",269,"302 11"
"Gymzaal Poelgeest","13","2341PM","1067",880,"579 13"
"Gymzaal Poortugaal","3","3171AD","2245",1009,"613 3"
"Gymzaal Punter","20","8242DL","1726",435,"995 20"
"Gymzaal Regenboogweg 2","233","1339ET","1406",1867,"34 233"
"Gymzaal Reynaertcollege (ingang Zandstraat)","4","4561XA","1682",621,"677 4"
"Gymzaal Rhoon","10","3161TS","2627",870,"613 10"
"Gymzaal Rijnlaan","1930","3207PE","2342",3137,"1930 25"
"Gymzaal Rooseveltlaan","7","1902DH","1966",844,"383 7"
"Gymzaal Ruwaard II 2","35","5344GK","1220",793,"828 35"
"Gymzaal Salamanderveen","1930","3205TG","1736",1072,"1930 21"
"Gymzaal Sandenburg","282","3328EE","1698",484,"505 282"
"Gymzaal school De Brakken","4","5121EM","2366",1049,"784 4"
"Gymzaal Schoolstraat","1966","9781JL","1161",687,"1966 18"
"Gymzaal Schouw Noord","38","8232ZC","1492",438,"995 38"
"Gymzaal Singelweg","928","6467CE","1628",372,"928 72"
"Gymzaal Slenk","362","9746RS","1311",2235,"14 362"
"Gymzaal Soc.Cult.Centr. De Poort op 16  2022","14","6882DA","1761",445,"275 14"
"Gymzaal Sparresholm","14","2133BM","1491",622,"394 14"
"Gymzaal Sporthal West (2)","345","3905SL","1550",2177,"345 35"
"Gymzaal Staringstraat","855","5025TX","1844",347,"855 14"
"Gymzaal Stoepemaheerd","416","9737TJ","1311",1119,"14 416"
"Gymzaal Terborgseweg","222","7001GM","0",251,"222 2"
"Gymzaal Terwolde (ingang Schoolstraat)","22","7396NA","0",2346,"285 22"
"Gymzaal Theo Thijssenschool","11","4384PA","1390",489,"718 11"
"Gymzaal Tolhuis","254","6537PN","0",2096,"268 254"
"Gymzaal Tuinstraat","2","2921XH","1469",607,"542 2"
"Gymzaal Tynaarlo","10","9482PP","1438",764,"1730 10"
"Gymzaal Van Alkemadestraat","12","2614EP","1935",368,"503 12"
"Gymzaal Van den Broek-Erf","205","3315SB","2536",893,"505 205"
"Gymzaal Van Schendelstraat  bureau 2","297","3319RN","2585",1928,"505 297"
"Gymzaal Van Spaenweg","2","6862XH","1967",880,"274 2"
"Gymzaal Van Tienhovestraat","13","2613XC","2111",380,"503 13"
"Gymzaal Verdilaan","1930","3208NH","3127",788,"1930 13"
"Gymzaal Verdistraat 2","36","5343VC","1220",1335,"828 36"
"Gymzaal Vergeet-mij-nietjestraat","162","1338SE","1789",469,"34 162"
"Gymzaal Verhulstlaan","855","5012GA","1844",589,"855 73"
"Gymzaal Verlengde Lodewijkstraat","621","9724EK","1311",608,"14 621"
"Gymzaal Violenstraat","112","9712RH","1311",1589,"14 112"
"Gymzaal Vlinderveen","1930","3205EB","1066",1735,"1930 23"
"Gymzaal vm Sperkhemschool","8","8606CC","1214",418,"1900 8"
"Gymzaal Vogelzand","25","1788MJ","1325",1714,"400 25"
"Gymzaal Vondelstraat","11","1901HT","1817",265,"383 11"
"Gymzaal Voorhof - ","167","8212CA","0",2463,"995 167"
"Gymzaal voormalige BS Rumpenerhof","002","6443AE","1603",228,"899 002"
"Gymzaal Voorst 'De Wiekslag'","3","7383XM","1097",427,"285 3"
"Gymzaal Voorstraat (2)","15","8226KL","1896",3718,"995 15"
"Gymzaal Vrijmark","112","1355GK","2002",813,"34 112"
"Gymzaal Walingstuin","6","1902BC","1309",795,"383 6"
"Gymzaal Welhorst","642","3332RP","1886",615,"642 6"
"Gymzaal Westmaas","13","3273AL","1784",995,"1963 13"
"Gymzaal Westwijk 2","56","1187DA","1235",1307,"362 56"
"Gymzaal Widar Vrijeschool","612","9725KA","1311",1617,"14 612"
"Gymzaal Willem de Vlaminghstraat","139","1335PP","2450",1025,"34 139"
"Gymzaal Witsen","12","6813HP","1325",999,"202 12"
"Gymzaal Wold","11","8225AN","1703",573,"995 11"
"Gymzaal Wolfheze","8","6874AJ","1493",759,"274 8"
"Gymzaal Wormerstraat","6","2131AX","1397",542,"394 6"
"Gymzaal Zijlkwartier","547","2352RA","0",800,"547 5"
"Gymzaal Zoete Inval","345","3901SM","1596",235,"345 20"
"Gymzaal Zuid, Basisschool De Vijfmaster","8","5463ET","1425",482,"1948 8"
"Gymzaal Zuiderkruis","345","3902XX","1935",674,"345 24"
"Gymzalen Melisseweg","431","9731BX","1311",687,"14 431"
"Gynzaal Vierhouterweg","13","8075BJ","1268",762,"302 13"
"Gytsjerk, Gymnastieklokaal 16 ","19","9061BM","1861",1056,"737 19"
"H. Dominicuskerk","12","6524RN","1886",1083,"268 12"
"H. Martinuskerk","1115","5551AW","0",2343,"858 1115"
"H.R. Hartlief Buinen","17","9528PC","686",363,"1681 17"
"Haags HipHop Centrum","633","2521BB","1060",90,"518 633"
"Haagsche Rugby Club","964","2597HM","0",2501,"518 964"
"Haagse Sport Centrale","634","2521AV","885",438,"518 634"
"Haarlemse Korfbal Club","43","2023KW","1126",781,"392 43"
"Haarzichtsingel 15 ingang via achterkant","501","3451MB","959",466,"344 501"
"Haga Ziekenhuis","278","2545AA","0",654,"518 278"
"Hagestein Dorpshuis de Biezen","6","4124AK","1350",717,"1961 6"
"Hageveld","3","2102LM","554",185,"397 3"
"Hagukumi Aikido Dojo","354","2564KM","0",425,"518 354"
"Hal NS-station","6","5121EA","2296",1209,"784 6"
"Hal Stadhuis","25","4382LG","0",4982,"718 25"
"Halsterse Tennis Vereniging","14","4661RK","1893",453,"748 14"
"HAN Nijmegen","86","6525EN","1886",845,"268 86"
"Handboogschutterij Pijlsnel","415","1121PC","0",265,"415 15"
"Handboogsportvereniging Rozen van Oranje","2","5591GH","1369",436,"1658 2"
"Hangout Pecto's","30","2665KP","0",405,"1621 30"
"Hanzeheerd, Brinkhoven","1","8181DB","54",24,"246 1"
"Hanzehof ingang Buitensociëteit","8","7201AA","697",322,"301 8"
"Happy Days ()","12","1613KV","0",2222,"532 12"
"Harens Lyceum","18","9471EC","1471",814,"1730 18"
"Harkema, Clubhuis 16 ","8","9281RD","1781",717,"59 8"
"Harkema, Sporthal De Fûgelkamp 16 ","7","9281MA","1594",704,"59 7"
"Harmonie Zaal","3","6077AJ","1387",199,"1669 3"
"Harmoniecomplex (RUG)","109","9712EK","1311",1474,"14 109"
"Harmoniezaal Banholt","2","6262NX","824",555,"1903 2"
