"Street/Name","stationcode","Zipcode","Invited","Turnout","merger"
"'t Weegje","4","3295CT","1343",1027,"1963 4"
"'t Westhoes","928","6466SZ","0",1017,"928 226"
"'t Westhoes","928","6466HR","1482",654,"928 26"
"'t Wierickehuis","10","2415AW","1490",750,"1901 10"
"'t Zaelke","110","5931HM","1254",487,"983 110"
"’t Buurthuus, Noordwolde","26","8391AW","0",311,"98 26"
"’t Luye Gat (vervroegd 15-03-22)","240","1218CR","0",1048,"402 240"
"’t Warnshuus","35","7232CN","0",7092,"301 35"
"""Gereformeerde Kerk""""Pro Rege"",	Revelsant 86","8","8303ZD","1117",492,"171 8"
"(Dinsdag 15-3) Hart van Heuze","13","5725AN","0",405,"743 13"
"(Dinsdag 15-3) Tennishal 't Root","12","5721CJ","0",574,"743 12"
"(Dinsdag 15-3) Zaal Zegers","11","5721HC","0",511,"743 11"
"(Maandag 14-3) Hart van Heuze","10","5725AN","0",295,"743 10"
"(Maandag 14-3) Tennishal 't Root","9","5721CJ","0",497,"743 9"
"(Maandag 14-3) Zaal Zegers","8","5721HC","0",396,"743 8"
"`t Wingerds Hof","6","3366BD","563",423,"1978 6"
"´t Plein","855","5071CX","1844",439,"855 714"
"013 Poppodium","855","5038CV","1844",7616,"855 915"
"14-3 De Eendrachtshoeve","99","3284XR","0",126,"1963 99"
"14-3 De Gravin","86","3261AZ","0",268,"1963 86"
"14-3 De Swaensvoet","100","3264AL","0",156,"1963 100"
"14-3 De Voorhof","83","3281XP","0",294,"1963 83"
"14-3 Dorpshart","81","3271SH","0",251,"1963 81"
"14-3 Dorpshuis Streona","87","3291TP","0",317,"1963 87"
"14-3 Gemeentehuis Maasdam","82","3299XG","0",240,"1963 82"
"14-3 Gemeentehuis Oud-Beijerland","85","3262GM","0",401,"1963 85"
"14-3 MFA De Wurf","84","3265BT","0",115,"1963 84"
"14-3 NLS gebouw","98","3286VT","0",216,"1963 98"
"14-3 Ons Gebouw","80","3295BN","0",301,"1963 80"
"14-3 Verkiezingsbus West","105","3262GM","0",252,"1963 105"
"15-3 De Eendrachtshoeve","102","3284XR","0",268,"1963 102"
"15-3 De Gravin","94","3261AZ","0",369,"1963 94"
"15-3 De Swaensvoet","103","3264AL","0",290,"1963 103"
"15-3 De Voorhof","91","3281XP","0",410,"1963 91"
"15-3 Dorpshart","89","3271SH","0",388,"1963 89"
"15-3 Dorpshuis Streona","95","3291TP","0",452,"1963 95"
"15-3 Gemeentehuis Maasdam","90","3299XG","0",304,"1963 90"
"15-3 Gemeentehuis Oud-Beijerland","93","3262GM","0",637,"1963 93"
"15-3 MFA De Wurf","92","3265BT","0",166,"1963 92"
"15-3 NLS gebouw","101","3286VT","0",332,"1963 101"
"15-3 Ons Gebouw","88","3295BN","0",365,"1963 88"
"15-3 Verkiezingsbus West","107","3262GM","0",226,"1963 107"
"1e Montessorischool","10","2131RV","1390",580,"394 10"
"2College Cobbenhagen","855","5012AE","1844",511,"855 39"
"2e Daalsedijk 2B","41","3551EJ","1388",488,"344 41"
"A.K.V. Trefpunt Bokkeduinen","78","3819BD","865",145,"307 78"
"ABC-school De Bron","37","3825WC","866",951,"307 37"
"Abdijwinkel","12","1935AR","1085",583,"373 12"
"Ability","1966","9981GJ","1171",492,"1966 3"
"Abrona  't Lichtpunt","32","3712XJ","1300",498,"355 32"
"Abtswoude bloeit","33","2624LJ","1884",600,"503 33"
"Academiegebouw","5","2311GJ","0",1598,"546 5"
"ACLO Sportcentrum","371","9747AC","1311",360,"14 371"
"Activiteitencentrum ""De Bunthoef""","8","4904CA","2518",804,"826 8"
"Activiteitencentrum ""Dommelbergen""","20","4907XP","2067",628,"826 20"
"Activiteitencentrum & Regiokantoor DOCK","221","2033TM","600",1522,"392 221"
"Activiteitencentrum De Kwikstaart","12","4388KK","1767",530,"718 12"
"Activiteitencentrum Het Zaeltje van Rosehaghe","8","2013DR","1000",591,"392 8"
"Adra Share & Care","33","3712AD","620",388,"355 33"
"Adventkerk","10","8918AA","1519",570,"80 10"
"Adventkerk","38","3814TE","866",417,"307 38"
"Adventkerk","9","4386AL","1366",686,"718 9"
"Adventskerk 16  ","377","2111HA","1187",2035,"377 9"
"Adverium","45","9202PD","1714",275,"90 45"
"Adviesbureau Tussen de Singels","20","8431JB","1230",305,"85 20"
"Aegon","392","2591TV","0",199,"518 392"
"Aerden Plaats Julianakerk","47","9078WD","778",369,"1949 47"
"Aeres VMBO Lelystad","32","8232MB","1203",474,"995 32"
"AFAS","14","3833AV","473",686,"327 14"
"Afrikalaan 28","123","3526VN","1603",494,"344 123"
"Agneskerk Lindenholt","68","6545AW","1886",1134,"268 68"
"Agnietenstraat 1 ingang Nicolaasdwarsstraat","642","3512XA","1199",868,"344 642"
"Agnus Dei Kerk","6","5582JV","3299",261,"866 6"
"Agua Viva","42","6525SM","1886",1176,"268 42"
"Akkerschans 15-03-2022","43","9693BS","0",497,"1895 43"
"Akkervarken","10","7876EH","1402",426,"1681 10"
"Akkrumerraklaan 131 ingang via achterkant","592","3544TT","1150",1760,"344 592"
"Albert Schweitzerschool","3","6942VA","1943",646,"1955 3"
"Albert Schweitzerziekenhuis  Dordtwijk","73","3318AT","700",163,"505 73"
"Albertusgebouw","1","6942BE","1655",905,"1955 1"
"Alde Leie Us Gebou","77","9071XG","210",94,"80 77"
"Aldtsjerk, Oerein 16 ","22","9064KE","513",333,"737 22"
"Algemene Hindoe Basisschool","364","2571AR","1548",539,"518 364"
"Algemene School Oost","16","4624ES","2330",678,"748 16"
"Alkwin Kollege","451","1422MT","1695",754,"451 5"
"Allekanten","220","2543XZ","504",309,"518 220"
"Allemanswaard, 16-03-2022","303","3958KA","0",2497,"1581 303"
"Alles Paletti Opleidingscentrum","10","5993AV","1634",529,"1894 10"
"Amaliadwarsstraat 2 ingang gymzaal","137","3522AR","1599",785,"344 137"
"Amare","545","2511DG","0",576,"518 545"
"Amateurspalet","8","2282HM","1802",612,"603 8"
"Ameide Het Spant ()","3","4233HG","1900",2258,"1961 3"
"Ameide/Tienhoven Verenigingsgebouw De Hoven","4","4233EK","1743",554,"1961 4"
"Amerpoort (bijzonder stemlokaal)","13","3744PA","1109",33,"308 13"
"Amicitia","1","2941BR","1553",874,"1931 1"
"Amicitia","60","2281GA","0",4151,"603 60"
"Amicitia, Kloetinge","16","4481AH","2079",917,"664 16"
"Ammerstolse SV (voetbalvereniging)","13","2865AH","1515",762,"1931 13"
"Amsterdamsestraatweg 1015 ingang Theo Thijssenplein","673","3555HT","473",629,"344 673"
"Amsterdamsestraatweg 239A","651","3551CC","1604",905,"344 651"
"Amsterdamsestraatweg 3","38","3513AA","2016",877,"344 38"
"Andreaskerk","2","3881SH","1492",770,"273 2"
"Anne de Vriesschool","16","3363KH","736",607,"610 16"
"Anne Frankschool","8","7943CV","1457",745,"119 8"
"Antonius Kloosterzande","25","4587CW","106",30,"677 25"
"Aod Thoear","10","6017BC","2118",1070,"1641 10"
"Apostolisch genootschap","237","3314BL","1245",476,"505 237"
"Apostolisch Genootschap","662","9721VN","1311",2436,"14 662"
"Apostolisch Genootschap","39","3813AT","866",594,"307 39"
"App Waterrijk","222","7031AM","0",677,"222 29"
"App.complex Op Houten","42","3991DT","0",3066,"321 42"
"Appartementencomplex Lucashof","2","4631LR","1986",671,"873 2"
"Appartementencomplex Nuwenspete","18","8071AA","0",91,"302 18"
"Appartementencomplex Rumah Maluku","3","3771GR","1665",824,"203 3"
"Appartementengebouw Valletta","27","4301LM","1249",540,"1676 27"
"Archimedeslaan 6","48","3584BA","621",376,"344 48"
"Arendshof","7","4901NE","1341",190,"826 7"
"Ariënslaan 2","646","3573PT","559",387,"344 646"
"Ariënstaete / Klaaskateplein","30001","7523ET","0",110,"153 30001"
"Ark van Oost","216","6523HR","0",4309,"268 216"
"Artharpe","1966","9774PH","525",315,"1966 33"
"Arthur van Schendelstr 500","10","3511MH","1588",664,"344 10"
"ARV Achilles","777","4871ZD","1677",912,"777 5"
"ASTA","16","6191JG","0",4446,"888 16"
"Atalantahof 11","141","3544VD","1605",685,"344 141"
"Atlas Theater","114","7811AP","1333",484,"114 4"
"Atletiek Vereniging Aalsmeer","23","1431HW","1330",253,"358 23"
"Atletiekgebouw Trias","6","1852RH","1490",734,"399 6"
"Atletiekvereniging","15","1274KZ","1012",493,"406 15"
"Atolplaza","5","8224CM","1863",465,"995 5"
"Atonius van Paduakerk","13","6524DJ","1886",882,"268 13"
"Atrium  Zorgcentrum Ter Reede","4","4382CJ","1665",830,"718 4"
"ATV Loolaan (Trefpunt)","778","2593HH","1782",544,"518 778"
"ATV Scorpio","10","4903RA","895",231,"826 10"
"ATV Texelstroom","14","1784EA","1213",415,"400 14"
"Augustinusga, Seniorencomplex Nij Stiensgea 16 ","13","9284TL","962",485,"59 13"
"Augustinusschool","216","4105EA","23168",547,"216 13"
"Aula Begraafplaats","18","4388NB","1732",223,"718 18"
"Auris Montaal","12","4621CH","1258",420,"748 12"
"Auto-, fiets stemstraat Kaatsheuvel","5","5171PH","1580",101,"809 5"
"Autobedrijf Arsen","928","6464GA","1225",303,"928 66"
"Autobedrijf Haaima Hylkema","16","8923EL","1844",1366,"80 16"
"Auw Sjoel","3","6367HC","2260",518,"981 3"
"Avans Hogeschool","855","5037DA","1844",603,"855 20"
"AvB Sports / Voormalige Hemstea Kerk","17","7152BD","1367",932,"1859 17"
"Avoord Zorg en Wonen","777","4872CW","1677",663,"777 3"
"Avres Gorinchem","224","4207HH","0",1360,"512 224"
"Baard De Greidefûgel","79","8834XM","631",408,"80 79"
"Babylon Hotel Den Haag","783","2594AC","0",161,"518 783"
"Backstop","46","2024BT","1000",564,"392 46"
"Badhotel Scheveningen","395","2586BB","1296",213,"518 395"
"Badhuis Leidseplein","210","2013PW","600",3723,"392 210"
"Bakkeveen, Dúndelle","3","9243SK","1529",880,"86 3"
"Ballum","1","9162EA","256",207,"60 1"
"Ballum vroeg 15 ","200","9162EA","50",311,"60 200"
"Bangkokdreef 2","508","3564SC","1090",1322,"344 508"
"Bantam ()","13","1616AN","0",1889,"498 13"
"Bantoedreef 2 ingang hoek Bantoedreef/Nigerdreef","65","3564RA","1340",441,"344 65"
"Baptistencentrum 't Lieniezer","22","7681JA","1228",500,"1700 22"
"Baptistengemeente 'De Thuishaven' Kollumerzwaag","33","9298PT","1156",540,"1970 33"
"Baptistengemeente Hengelo (B)","14","7557GD","1399",1288,"164 14"
"Baptistenkerk","11","7676AC","1290",552,"1700 11"
"Baptistenkerk Beukemastraat","3","9601BN","2582",875,"1952 3"
"Baptistenkerk Het Lichtbaken","20","1785SB","1201",539,"400 20"
"Bar Bistro de Brug","5","1761JR","476",344,"1911 5"
"Barbarakerk","13","3981AD","1414",838,"312 13"
"Bartiméus","508","3941XM","0",68,"1581 508"
"Basischool De Wadden","74","2036NK","1380",315,"392 74"
"Basisschool  de Ieme","12","5467KR","1241",438,"1948 12"
